view,prot_dim,comp_dim,hdims,graph_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,optimizer__sgd__nesterov,optimizer__sgd__momentum,optimizer__adam__amsgrad,optimizer__adadelta__rho,optimizer__adagrad__lr_decay,optimizer__rmsprop__momentum,score
ecfp8,8421,1024,"[3154, 4586]",381,5,0.016829709306736818,64,512,512,adam,0.008924602827626877,0.00017364129331352154,False,0.0002576889531593506,False,0.0002065994600603026,0.0011325959796323706,0.0002514009209666984,-0.01728575154184663
ecfp8,8421,1024,"[1597, 2312, 302]",373,5,0.5479470330094106,64,512,512,adadelta,0.0011833827404846193,0.22295190518491748,True,0.013190098683738643,True,0.0018191385764705784,0.3668059597657605,0.0005264354567526792,-0.019362222391757843
ecfp8,8421,1024,"[312, 4536, 4871]",509,5,0.05382138793356599,512,512,512,adadelta,0.00015173722140736148,0.026084855450829066,True,0.001966913570869403,False,0.002039474694058314,0.004258448166355654,0.0018604569995405577,-0.019424286674049076
ecfp8,8421,1024,"[2101, 2852, 912]",468,5,0.0854418338933194,32,512,512,adagrad,0.0006777135739750702,0.006963186087858362,False,0.5646645287296946,True,0.13949269821952806,0.0037853891950389087,0.00015430359876672522,-0.02397073685365559
ecfp8,8421,1024,"[3844, 3612]",362,5,0.13731600153405096,256,512,512,adagrad,0.8776753273120489,0.003699294401024654,True,0.0012984689656046044,True,0.16044696648057788,0.42599524241216397,0.003556273389070212,-0.02861371041940212
ecfp8,8421,1024,"[2229, 2364, 3517]",362,5,0.14809962268960053,64,512,512,rmsprop,0.0020076173379696325,0.00011384464672547664,False,0.12284621361683905,True,0.014806596510995414,0.08224051495619135,0.015961143055431185,-0.029308616692876592
ecfp8,8421,1024,"[3154, 4586]",381,5,0.016829709306736818,64,512,512,adam,0.008924602827626877,0.00017364129331352154,False,0.0002576889531593506,False,0.0002065994600603026,0.0011325959796323706,0.0002514009209666984,-0.031009256359621405
ecfp8,8421,1024,"[2101, 2852, 912]",468,5,0.0854418338933194,32,512,512,adagrad,0.0006777135739750702,0.006963186087858362,False,0.5646645287296946,True,0.13949269821952806,0.0037853891950389087,0.00015430359876672522,-0.03391057093636285
ecfp8,8421,1024,"[2229, 2364, 3517]",362,5,0.14809962268960053,64,512,512,rmsprop,0.0020076173379696325,0.00011384464672547664,False,0.12284621361683905,True,0.014806596510995414,0.08224051495619135,0.015961143055431185,-0.035451625914493565
ecfp8,8421,1024,"[4470, 256]",64,5,0.7069576966885882,128,512,512,adagrad,0.003222509825476054,0.000622096549508825,True,1.0,True,0.011571416648752931,0.0001,0.0001,-0.03564287143414165
ecfp8,8421,1024,"[3154, 4586]",381,5,0.016829709306736818,64,512,512,adam,0.008924602827626877,0.00017364129331352154,False,0.0002576889531593506,False,0.0002065994600603026,0.0011325959796323706,0.0002514009209666984,-0.038945760082999006
ecfp8,8421,1024,"[1597, 2312, 302]",373,5,0.5479470330094106,64,512,512,adadelta,0.0011833827404846193,0.22295190518491748,True,0.013190098683738643,True,0.0018191385764705784,0.3668059597657605,0.0005264354567526792,-0.043010773979096216
ecfp8,8421,1024,"[1597, 2312, 302]",373,5,0.5479470330094106,64,512,512,adadelta,0.0011833827404846193,0.22295190518491748,True,0.013190098683738643,True,0.0018191385764705784,0.3668059597657605,0.0005264354567526792,-0.049471512385038004
ecfp8,8421,1024,"[2101, 2852, 912]",468,5,0.0854418338933194,32,512,512,adagrad,0.0006777135739750702,0.006963186087858362,False,0.5646645287296946,True,0.13949269821952806,0.0037853891950389087,0.00015430359876672522,-0.04971032800658815
