view,prot_dim,comp_dim,hdims,graph_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,optimizer__sgd__nesterov,optimizer__sgd__momentum,optimizer__adam__amsgrad,optimizer__adadelta__rho,optimizer__adagrad__lr_decay,optimizer__rmsprop__momentum,score
gconv,8421,1024,"[4598, 3333]",103,5,0.2155050059551138,128,512,512,adam,0.004607586293380682,0.014621977300893391,False,0.0026880382261823574,True,0.0001317101718314279,0.03655794085748084,0.8171997719021525,-0.5227743171823921
gconv,8421,1024,"[2210, 3000, 3695]",65,5,0.018886466221431975,256,512,512,adam,0.3745586646584566,0.009809935909163748,True,0.006868447472708193,False,0.00010498490443410527,0.004593141967837462,0.00023401922752178987,-0.5255290352471536
gconv,8421,1024,"[3580, 2370]",316,5,0.11232306308677445,32,512,512,adam,0.0010146996936457003,0.10568501630786369,True,0.9600696930195113,True,0.004306649879554662,0.001681175589260604,0.12883885522112057,-0.527160441866272
gconv,8421,1024,"[1420, 2751, 4661, 757]",405,5,0.022927834903743286,512,512,512,adagrad,0.6985843307557109,0.006596774640186553,False,0.000982349169076126,False,0.0007462488960542899,0.9771196246823745,0.0022952471022759536,-0.5359222087514757
gconv,8421,1024,"[4298, 1843, 3969]",89,5,0.29727341875645696,32,512,512,adagrad,0.0003881905420794915,0.005937703788475794,False,0.008518142274278101,True,0.04647973240193682,0.19985541851669286,0.0007266654821379712,-0.5392953098280644
gconv,8421,1024,"[1185, 4199, 453, 4852]",74,5,0.17339029256379068,32,512,512,sgd,0.00032084647373344013,0.0006497909807212656,True,0.014224768585319403,True,0.0018289210029557362,0.2172256168052895,0.0002643259060304592,-0.5395642823359282
gconv,8421,1024,[5000],64,5,0.01,128,512,512,adagrad,1.0,0.0001,True,0.0001,True,0.0001,1.0,0.0001,-0.543717035018393
gconv,8421,1024,"[1622, 1447]",178,5,0.5641131356503174,32,512,512,adadelta,0.0022107192421923403,0.00018843755106932327,False,0.5614877135839194,True,0.00010810800375775247,0.07552626367417128,0.005206356472779414,-0.5484452367968073
gconv,8421,1024,[2856],388,5,0.12674473508560702,512,512,512,sgd,0.022524129334138873,0.003161209501513,False,0.00024302321235440856,False,0.00017481388563869748,0.30350912570512867,0.3001309075172892,-0.5496945072423794
gconv,8421,1024,"[4392, 5000, 256, 5000]",190,5,0.01,128,512,512,adagrad,1.0,0.0001,False,0.0001,True,0.0347876893655183,1.0,0.0001,-0.5548908873353915
