attn_heads,attn_layers,lin_dims,output_dim,latent_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,gnn,score
16,2,[1220],1,512,5,0.2108167000591302,128,128,128,adadelta,0.11291113777098745,0.004720087203389534,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 1, 'embedding_dim': 21, 'psc_dim': 8421, 'rnn_hidden_state_dim': 41}",{'update_pairs': False},{'dim': 199},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 488}",-0.4512648937710365
16,2,[1471],1,256,5,0.3546876380803923,128,128,128,sgd,0.34571468353233836,0.0011761631543008176,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 11, 'psc_dim': 8421, 'rnn_hidden_state_dim': 32}",{'update_pairs': False},{'dim': 279},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 327}",-0.4642928951411074
2,3,"[1041, 734]",1,512,5,0.2951666667059234,128,128,128,adamax,0.009213854127024598,0.000617910767845049,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 15, 'psc_dim': 8421, 'rnn_hidden_state_dim': 22}",{'update_pairs': False},{'dim': 469},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 192}",-0.4984972191120466
1,1,[1618],1,256,5,0.2859739623178832,128,128,128,adam,0.2866460291985864,0.1370995544089041,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 48, 'psc_dim': 8421, 'rnn_hidden_state_dim': 43}",{'update_pairs': False},{'dim': 321},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 106}",-0.5200386009963237
4,2,"[114, 606]",1,512,5,0.2296852017728816,256,128,128,adadelta,0.01765962479968425,0.0002522752855918841,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 11, 'psc_dim': 8421, 'rnn_hidden_state_dim': 7}",{'update_pairs': False},{'dim': 269},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 394}",-0.5747522636185421
1,2,"[449, 987]",1,256,5,0.12537815671934147,128,128,128,adagrad,0.0011813139158109887,0.030580211289033966,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 19, 'psc_dim': 8421, 'rnn_hidden_state_dim': 25}",{'update_pairs': False},{'dim': 493},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 417}",-0.5938438630913238
16,2,"[1279, 1054, 1998]",1,256,5,0.1595580874757831,128,128,128,adam,0.0021275174724803138,0.010137974895594386,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 42, 'psc_dim': 8421, 'rnn_hidden_state_dim': 5}",{'update_pairs': False},{'dim': 337},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 289}",-0.598785125716777
8,1,"[1933, 818]",1,512,5,0.2205441981639574,256,128,128,sgd,0.020631733668954533,0.00010865056469534695,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 26, 'psc_dim': 8421, 'rnn_hidden_state_dim': 39}",{'update_pairs': False},{'dim': 273},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 437}",-0.6202658796294314
16,2,"[277, 2024]",1,512,5,0.31403430064476756,128,128,128,adagrad,0.04784190253814886,0.2726131134230506,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 49, 'psc_dim': 8421, 'rnn_hidden_state_dim': 23}",{'update_pairs': False},{'dim': 261},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 127}",-0.6787068987398831
4,2,"[114, 606]",1,512,5,0.2296852017728816,256,128,128,adadelta,0.01765962479968425,0.0002522752855918841,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 11, 'psc_dim': 8421, 'rnn_hidden_state_dim': 7}",{'update_pairs': False},{'dim': 269},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 394}",-0.6792795713489762
