prot_vocab_size,attn_heads,attn_layers,lin_dims,latent_dim,disc_hdims,kaiming_constant,weighted_loss,dprob,neigh_dist,tr_batch_size,val_batch_size,test_batch_size,optimizer_gen,optimizer_gen__global__weight_decay,optimizer_gen__global__lr,optimizer_disc,optimizer_disc__global__weight_decay,optimizer_disc__global__lr,prot,weave,gconv,ecfp8,score
9048,16,1,"[915, 1340]",256,[394],5,0.1,0.1,32,256,128,128,adadelta,0.0010279485681767549,0.01629212856229201,sgd,0.000337887821534425,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.23145712448444453
9048,4,1,"[64, 2048, 1479]",256,"[2048, 2048]",5,0.1,0.1,4,256,128,128,rmsprop,0.0001,0.0001,rmsprop,1.0,0.673838751547646,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.2302352129821903
9048,8,1,"[2033, 1855]",256,"[209, 1646]",5,0.23662880716716198,0.13619172745532088,17,256,128,128,adagrad,0.0001,0.004185302269230574,sgd,0.00804280404383464,0.00048332920216270954,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.2301008149416519
9048,2,1,[64],256,[2048],5,0.5,0.1,64,256,128,128,rmsprop,0.0001,0.0001,adadelta,0.0001,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.22956847126270127
9048,8,1,"[1782, 2006]",256,[584],5,0.38370497672448445,0.24343044463881802,42,256,128,128,adagrad,0.0003810075265819306,0.0014553981486317886,adamax,0.521094831498182,0.1794692321609573,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.2272279026676997
9048,16,1,"[2048, 1739, 2048]",256,"[1530, 272]",5,0.30361571425831957,0.4028189929750027,49,256,128,128,adagrad,0.0001,0.004377326165958787,adadelta,1.0,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.2169456658218033
9048,4,1,"[402, 64]",256,"[1488, 2048]",5,0.1,0.3939325893118081,49,256,128,128,adamax,0.0011178122310037779,0.001074897517331168,sgd,0.027030948212453797,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.21500180073394148
9048,8,1,"[860, 1103, 603]",256,"[793, 1739]",5,0.1428288317973225,0.2923523730810933,47,256,128,128,adadelta,0.01649188752134315,0.04343870389730992,adadelta,0.0009131645865917955,0.009481710247608672,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.2140259800931224
9048,2,1,"[1211, 1507, 1731]",256,[1152],5,0.2905585176706175,0.2755374285056813,24,256,128,128,adamax,0.0020173012727382617,0.0006881051090500486,adadelta,0.09506910904285831,0.0002268518139391054,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.20910214286023177
9048,4,1,[1011],256,[1301],5,0.5,0.1,59,256,128,128,adadelta,0.009593764356791117,0.14262692657331544,sgd,0.045963046552279216,1.0,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.20728674608780062
9048,8,1,"[860, 1103, 603]",256,"[793, 1739]",5,0.1428288317973225,0.2923523730810933,47,256,128,128,adadelta,0.01649188752134315,0.04343870389730992,adadelta,0.0009131645865917955,0.009481710247608672,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.20662584346571336
9048,4,1,"[247, 64]",256,[1696],5,0.1,0.28567822000088805,62,256,128,128,adadelta,0.038535653260894046,0.09033745190318641,sgd,0.0001,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.20638413513749998
9048,4,1,"[1770, 1009]",256,[100],5,0.19283314457186695,0.1,46,256,128,128,adadelta,0.00047822248146240064,0.010687573010184956,adagrad,0.27194335678164605,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.20526027817239725
9048,2,1,"[572, 1133, 1003]",256,"[432, 258]",5,0.3213194203721458,0.23593189855948274,57,256,128,128,rmsprop,0.0065024419353994535,0.0002748221584253953,adam,0.0015470727194961758,0.014801039017507685,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.20252542036440901
9048,4,1,"[1130, 1718, 1697]",256,[221],5,0.31522059874454456,0.2110488662474078,34,256,128,128,adagrad,0.0001,0.007871621734471049,sgd,0.0002320442088655874,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.20186569434949655
9048,2,1,"[572, 1133, 1003]",256,"[432, 258]",5,0.3213194203721458,0.23593189855948274,57,256,128,128,rmsprop,0.0065024419353994535,0.0002748221584253953,adam,0.0015470727194961758,0.014801039017507685,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.19889770811397348
9048,2,1,"[1558, 109]",256,"[2048, 772]",5,0.1,0.28690889281688686,37,256,128,128,adagrad,0.001984219631302589,0.0008395443945385887,sgd,0.24235995851131414,1.0,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.19772123536366035
9048,2,1,"[1302, 2045]",256,[1025],5,0.4857786101598932,0.24572505300251968,44,256,128,128,adamax,0.055827950049130125,0.0001115056349767645,sgd,0.25805161498257845,0.0001267594920011606,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.1966425002553841
9048,8,1,"[1269, 100]",256,"[115, 322]",5,0.1,0.1573190816796897,59,256,128,128,adamax,0.6571588993356263,0.00018859253182584032,adam,0.001122963445971838,0.21613545414884822,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.19642830141821907
9048,1,1,"[64, 958, 649]",256,"[957, 1333]",5,0.1,0.17049267476921162,37,256,128,128,rmsprop,0.0005268880302339069,0.0001,sgd,0.005343698912122777,1.0,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.1960942553648445
9048,4,1,"[707, 1650]",256,[194],5,0.17309353964006435,0.1,29,256,128,128,adadelta,0.029091606336957253,0.009551980732461808,sgd,0.11360738250732126,0.0004917618135563016,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.1948381250631567
9048,1,1,"[485, 2048]",256,"[1162, 335]",5,0.1,0.1,30,256,128,128,adadelta,0.1255434533469948,0.0433000937159841,adagrad,0.004197108180406455,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.1943527805458001
9048,4,1,"[231, 2048]",256,[100],5,0.15949972308541854,0.1,52,256,128,128,adadelta,0.031303339960306334,0.010457524676792401,sgd,0.0006707519836264008,0.003071160212832757,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.19238031939070777
9048,1,1,"[1800, 1815]",256,[100],5,0.41838787357033025,0.1,31,256,128,128,adadelta,0.00011262059271186632,0.010421020796719303,adagrad,0.11502175371887592,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.18458746707541865
9048,4,1,[2048],256,"[1339, 383]",5,0.1,0.1527091880358627,30,256,128,128,adadelta,0.008609332226415111,0.010294421394764457,adam,0.07734955947366721,0.009278646261611413,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.1809849986405749
9048,16,1,"[1282, 64]",256,[679],5,0.10672069360401126,0.48173939737962235,4,256,128,128,adadelta,0.0003514828489978314,0.13046407234710536,adamax,1.0,0.6883991251808231,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.18078084072300651
