prot_vocab_size,attn_heads,attn_layers,lin_dims,latent_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,score
8319,1,2,[149],512,5,0.24714610380964283,256,128,128,sgd,0.016150087791032445,0.000914092226297146,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 460},{'dim': 1024},-0.3955285963051934
8319,4,2,"[1051, 1420]",64,5,0.2981967150734657,64,128,128,adadelta,0.1014312961401944,0.008386263650487495,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 421},{'dim': 1024},-0.42379929915384024
8319,4,2,"[1051, 1420]",64,5,0.2981967150734657,64,128,128,adadelta,0.1014312961401944,0.008386263650487495,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 421},{'dim': 1024},-0.4305310963884291
8319,8,3,"[2048, 1587, 607]",256,5,0.1,256,128,128,adam,0.0001,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 512},{'dim': 1024},-0.4417921688590792
8319,2,3,[1045],64,5,0.46762272037093755,256,128,128,adadelta,0.0017359373083785377,0.010686051698983,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 190},{'dim': 1024},-0.44241095385515444
8319,8,2,"[1491, 1038]",128,5,0.3318777188090441,64,128,128,adadelta,0.0323048729487371,0.0019797191018934594,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 174},{'dim': 1024},-0.4455588239613561
8319,8,2,"[1491, 1038]",128,5,0.3318777188090441,64,128,128,adadelta,0.0323048729487371,0.0019797191018934594,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 174},{'dim': 1024},-0.45023846476815577
8319,2,3,[1045],64,5,0.46762272037093755,256,128,128,adadelta,0.0017359373083785377,0.010686051698983,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 190},{'dim': 1024},-0.5025330116171407
8319,8,1,"[1869, 497]",512,5,0.38455672072588676,128,128,128,adam,0.0033166439945024784,0.015727091376757683,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 313},{'dim': 1024},-0.5276807634271181
8319,2,2,[740],128,5,0.2826991667429024,64,128,128,rmsprop,0.0012079769807718992,0.013190098683738643,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 143},{'dim': 1024},-0.5768876796733114
8319,1,3,"[2048, 2048]",128,5,0.5,128,128,128,adamax,1.0,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 64},{'dim': 1024},-0.5836277887550235
8319,8,3,"[2048, 64]",128,5,0.5,128,128,128,adamax,1.0,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 64},{'dim': 1024},-0.5876875915507607
8319,2,1,"[1584, 1606, 120]",64,5,0.1616328967387387,64,128,128,rmsprop,0.10034940899532338,0.05937627855123394,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 293},{'dim': 1024},-0.5943648531828806
8319,8,2,[338],512,5,0.5,64,128,128,adamax,0.0001,1.0,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 512},{'dim': 1024},-0.599728367015278
8319,4,1,"[1687, 1174]",512,5,0.44742886177027785,128,128,128,sgd,0.00820041853939272,0.012151719015074678,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 324},{'dim': 1024},-0.6002533706815552
8319,2,2,[740],128,5,0.2826991667429024,64,128,128,rmsprop,0.0012079769807718992,0.013190098683738643,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 143},{'dim': 1024},-0.6005061430140693
8319,8,1,"[1869, 497]",512,5,0.38455672072588676,128,128,128,adam,0.0033166439945024784,0.015727091376757683,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 313},{'dim': 1024},-0.6246923853726154
8319,2,1,"[1584, 1606, 120]",64,5,0.1616328967387387,64,128,128,rmsprop,0.10034940899532338,0.05937627855123394,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 293},{'dim': 1024},-0.6534629048602203
8319,4,1,"[1687, 1174]",512,5,0.44742886177027785,128,128,128,sgd,0.00820041853939272,0.012151719015074678,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 324},{'dim': 1024},-0.6801201064237574
8319,8,1,"[2048, 2048, 1556]",256,5,0.1,128,128,128,adamax,0.0001,0.33541488234769457,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 64},{'dim': 1024},-0.7561863056755174
8319,4,1,"[1440, 1677, 2048]",512,5,0.38690217452173514,256,128,128,adamax,0.0001,0.3992220341308474,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 209},{'dim': 1024},-1.543766043094763
